W,T_hot,Tc,Tc_std,Tm,Tm2
2.33,200,154.38206555058744,33.58814864716469,49.43225347733482,45.476307696823
2.3,200,154.1277324910718,33.84703549307642,49.40321265594608,45.478697517455785
2.29,200,154.24717609216023,33.78260200658867,49.393155951735864,45.47863790195984
2.34,200,154.27010093457673,33.64750951748902,49.441728608867976,45.476355698475224
2.35,200,154.46975994150165,33.4754197054671,49.45094310237747,45.47501498255971
2.36,200,154.36140714789008,33.53234352054449,49.46013875008311,45.475058017275416
2.37,200,154.56168047487367,33.3567005041504,49.46430284690488,45.23843238411463
2.4,200,154.595627983823,33.26850833833412,49.50457122363113,45.6695455883462
2.43,200,154.96460113480342,32.920728936766274,49.45587351329395,45.641577558345844
2.45,200,155.11729262464303,32.75865370100883,49.47147639417383,45.639904619627686
2.38,200,154.45979912142508,33.41197478231113,49.47800073723596,45.4736714982233
2.39,200,154.6758071409479,33.223705845009384,49.48209628642411,45.236871465676906
2.41,200,154.8246362935657,33.07316258740424,49.439785030357115,45.643149979871815
2.44,200,154.8693531095357,32.96898161544773,49.46379259441139,45.64160637112472
2.42,200,154.72609775797966,33.123599356654715,49.44795012942334,45.64318217693786
2.51,200,155.65044217166368,32.215857418060324,49.51546569961946,45.63423591336851
2.46,200,155.01596785947308,32.8087541449134,49.474898368346345,45.408485273121904
2.48,200,155.18438751071233,32.63503129590582,49.48996769123874,45.406599471373696
2.47,200,155.2732569905805,32.59099829937254,49.48252564495989,45.40657766595946
2.5,200,155.37452512691465,32.44814955526346,49.50847205846682,45.63625942355292
2.49,200,155.46033730321483,32.406090777031714,49.501261060139264,45.63623881807326
2.52,200,155.56763689853125,32.25596683816304,49.52245376315522,45.63425433302828
2.53,200,155.85277695313013,32.01649105312553,49.52922995334275,45.63211238838974
2.54,200,155.76673080822124,32.05934818877512,49.53599831320515,45.63212846809263
2.56,200,155.98397341383378,31.849167706261916,49.5491165827859,45.62987664004017
2.55,200,156.06722807082082,31.808116855335154,49.54256009460374,45.62986233754785
2.57,200,156.29368608480723,31.59085914787759,49.55547153329784,45.62747946356262
2.58,200,156.213155704668,31.630161069119445,49.5618193313963,45.6274921757493
2.6,200,156.47961514615966,31.39054429399169,49.58044112402316,45.82065063446494
2.62,200,156.732505703631,31.15432270492272,49.592069104502826,45.85103581724721
2.59,200,156.5320456351518,31.36484138204561,49.56797045035429,45.62495709746334
2.61,200,156.80125566739994,31.123100153628716,49.5862517399558,45.85102474246153
2.63,200,157.06315221658895,30.88004624927044,49.59769175204351,45.84835326435033
2.64,200,156.98741759683907,30.91314441227536,49.60027563515981,45.61947540480711
2.66,200,157.27313772744935,30.656587573268062,49.614214228551276,45.8455350349045
2.65,200,157.3366590132785,30.62859398598569,49.608765060276056,45.845526123066364
2.67,200,157.62168634349985,30.368863189699898,49.61947730605177,45.84253516309407
2.68,200,157.56069955937284,30.39531176992455,49.62475061170916,45.842543178477065
2.69,200,157.9181482727708,30.100972769298284,49.62984182957949,45.8393717850779
2.7,200,157.852569402811,30.130987787454654,49.63494211505016,45.83937830479813
2.71,200,158.22596258681767,29.825040720628465,49.63986415338171,45.83602688358492
2.72,200,158.15300219618493,29.85696017639505,49.64225119355377,45.60647279826051
2.73,200,158.54505073289397,29.54118413443085,49.649557092856384,45.83249087324493
2.74,200,158.49136932803032,29.563258449917143,49.654327144113125,45.8324968052561
2.75,200,158.8753377618777,29.249519208160198,49.65892604068056,45.828753616142635
2.76,200,158.81648518128043,29.275531756094217,49.66353860991953,45.82875811905129
2.77,200,159.21675227120386,28.95016126158217,49.66798329172452,45.82480445398484
2.78,200,159.16770984202762,28.96952232117674,49.67244108254754,45.824809412036075
